name,company,year,Price,kms_driven,fuel_type
Santro,Hyundai,2007,80000,45000,Petrol
Jeep,Mahindra,2006,425000,40,Diesel
Grand i10,Hyundai,2014,325000,28000,Petrol
EcoSport,Ford,2014,575000,36000,Diesel
Figo,Ford,2012,175000,41000,Diesel
Eon,Hyundai,2013,190000,25000,Petrol
EcoSport,Ford,2016,830000,24530,Diesel
Alto K10,Maruti,2015,250000,60000,Petrol
Fabia,Skoda,2010,182000,60000,Petrol
Stingray,Maruti,2015,315000,30000,Petrol
Elite i20,Hyundai,2014,415000,32000,Petrol
Scorpio,Mahindra,2015,320000,48660,Diesel
A8,Audi,2017,1000000,4000,Petrol
Q7,Audi,2014,500000,16934,Diesel
Scorpio,Mahindra,2016,350000,43000,Diesel
Alto 800,Maruti,2014,160000,35550,Petrol
Scorpio,Mahindra,2016,310000,39522,Diesel
Alto 800,Maruti,2015,75000,39000,Petrol
i20,Hyundai,2012,100000,55000,Petrol
Alto 800,Maruti,2017,190000,72000,Petrol
Vitara Brezza,Maruti,2016,290000,15975,Diesel
Alto,Maruti,2008,95000,70000,Petrol
Bolero,Mahindra,2017,180000,23452,Diesel
Swift Dzire,Maruti,2014,385000,35522,Diesel
Scorpio,Mahindra,2015,250000,48508,Diesel
Swift,Maruti,2017,180000,15487,Petrol
Wagon R,Maruti,2013,105000,39000,Petrol
Wagon R,Maruti,2013,105000,39000,Petrol
Innova,Toyota,2012,650000,82000,Diesel
Lodgy,Renault,2018,689999,20000,Diesel
Yeti,Skoda,2012,448000,68000,Diesel
Baleno,Maruti,2017,549000,32000,Diesel
Duster,Renault,2012,501000,38000,Diesel
Duster,Renault,2013,489999,27000,Diesel
City,Honda,2011,280000,33000,Petrol
Swift Dzire,Maruti,2013,349999,46000,Diesel
Amaze,Honda,2013,284999,46000,Diesel
Amaze,Honda,2015,345000,36000,Diesel
City,Honda,2015,499999,55000,Petrol
Redi GO S,Datsun,2017,235000,16000,Petrol
SX4,Maruti,2010,249999,36000,Petrol
Pajero Sport,Mitsubishi,2015,1475000,47000,Diesel
Scorpio,Mahindra,2015,395000,35000,Diesel
Swift,Maruti,2017,220000,30874,Petrol
City,Honda,2017,170000,15000,Diesel
Wagon R,Maruti,2013,85000,29685,Petrol
Indigo ecs,Tata,2017,200000,130000,Diesel
Scorpio,Mahindra,2012,570000,19000,Diesel
Polo,Volkswagen,2014,315000,60000,Petrol
Spark,Chevrolet,2010,110000,41000,Petrol
Duster,Renault,2012,501000,35000,Diesel
City,Honda,2015,448999,54000,Petrol
Fabia,Skoda,2011,159500,38200,Diesel
Amaze,Honda,2015,344999,22000,Petrol
Duster,Renault,2014,449999,50000,Diesel
Scorpio,Mahindra,2015,865000,30000,Diesel
Scorpio,Mahindra,2014,699000,50000,Diesel
Quanto,Mahindra,2013,375000,20000,Diesel
EcoSport,Ford,2017,489999,39000,Petrol
Brio,Honda,2012,224999,30000,Petrol
Vento,Volkswagen,2019,1200000,3600,Diesel
i20,Hyundai,2009,195000,32000,Petrol
Corolla Altis,Toyota,2010,351000,38000,Diesel
Verna,Hyundai,2008,160000,45000,Petrol
